all wave.n.01 movement.n.03, no ending.n.04 movement.n.03: some-not wave.n.01 ending.n.04; all wave.n.01 ending.n.04
all distributor.n.01 supplier.n.01, no merchant.n.01 supplier.n.01: some-not distributor.n.01 merchant.n.01; all distributor.n.01 merchant.n.01
all susceptibility.n.01 state.n.02, no property.n.02 state.n.02: some-not susceptibility.n.01 property.n.02; all susceptibility.n.01 property.n.02
all spectator.n.01 perceiver.n.01, no contestant.n.01 perceiver.n.01: some-not spectator.n.01 contestant.n.01; all spectator.n.01 contestant.n.01
all act.n.02 event.n.01, no dancing.n.01 event.n.01: some-not act.n.02 dancing.n.01; all act.n.02 dancing.n.01
all expression.n.02 demonstration.n.05, no gesture.n.02 demonstration.n.05: some-not expression.n.02 gesture.n.02; all expression.n.02 gesture.n.02
all diet.n.01 fare.n.04, no foodstuff.n.02 fare.n.04: some-not diet.n.01 foodstuff.n.02; all diet.n.01 foodstuff.n.02
all granary.n.01 facility.n.01, no antiquity.n.03 facility.n.01: some-not granary.n.01 antiquity.n.03; all granary.n.01 antiquity.n.03
all donor.n.01 good_person.n.01, no white.n.01 good_person.n.01: some-not donor.n.01 white.n.01; all donor.n.01 white.n.01
all screenwriter.n.01 scriptwriter.n.01, no poet.n.01 scriptwriter.n.01: some-not screenwriter.n.01 poet.n.01; all screenwriter.n.01 poet.n.01
all adverb.n.02 relation.n.01, no attribute.n.02 relation.n.01: some-not adverb.n.02 attribute.n.02; all adverb.n.02 attribute.n.02
all gesture.n.02 visual_communication.n.01, no message.n.02 visual_communication.n.01: some-not gesture.n.02 message.n.02; all gesture.n.02 message.n.02
all radiography.n.02 representation.n.10, no operation.n.05 representation.n.10: some-not radiography.n.02 operation.n.05; all radiography.n.02 operation.n.05
all anthropologist.n.01 social_scientist.n.01, no chemist.n.01 social_scientist.n.01: some-not anthropologist.n.01 chemist.n.01; all anthropologist.n.01 chemist.n.01
all lamp.n.01 source_of_illumination.n.01, no support.n.10 source_of_illumination.n.01: some-not lamp.n.01 support.n.10; all lamp.n.01 support.n.10
all event.n.01 psychological_feature.n.01, no communication.n.02 psychological_feature.n.01: some-not event.n.01 communication.n.02; all event.n.01 communication.n.02
all apache.n.01 athapaskan.n.01, no iroquois.n.01 athapaskan.n.01: some-not apache.n.01 iroquois.n.01; all apache.n.01 iroquois.n.01
all volcano.n.02 mountain.n.01, no ridge.n.01 mountain.n.01: some-not volcano.n.02 ridge.n.01; all volcano.n.02 ridge.n.01
all lumber.n.01 building_material.n.01, no strip.n.02 building_material.n.01: some-not lumber.n.01 strip.n.02; all lumber.n.01 strip.n.02
all method.n.01 know-how.n.01, no creativity.n.01 know-how.n.01: some-not method.n.01 creativity.n.01; all method.n.01 creativity.n.01
all brewery.n.01 building_complex.n.01, no housing.n.01 building_complex.n.01: some-not brewery.n.01 housing.n.01; all brewery.n.01 housing.n.01
all non-market_economy.n.01 system.n.02, no halogen.n.01 system.n.02: some-not non-market_economy.n.01 halogen.n.01; all non-market_economy.n.01 halogen.n.01
all sensing.n.02 sensory_activity.n.01, no gambling.n.01 sensory_activity.n.01: some-not sensing.n.02 gambling.n.01; all sensing.n.02 gambling.n.01
all condiment.n.01 ingredient.n.03, no starches.n.01 ingredient.n.03: some-not condiment.n.01 starches.n.01; all condiment.n.01 starches.n.01
all agent.n.01 causal_agent.n.01, no agent.n.03 causal_agent.n.01: some-not agent.n.01 agent.n.03; all agent.n.01 agent.n.03
all carthaginian.n.01 african.n.01, no nude.n.03 african.n.01: some-not carthaginian.n.01 nude.n.03; all carthaginian.n.01 nude.n.03
all morpheme.n.01 relation.n.01, no set.n.02 relation.n.01: some-not morpheme.n.01 set.n.02; all morpheme.n.01 set.n.02
all framework.n.03 supporting_structure.n.01, no establishment.n.04 supporting_structure.n.01: some-not framework.n.03 establishment.n.04; all framework.n.03 establishment.n.04
all trademark.n.02 symbol.n.01, no alarm.n.03 symbol.n.01: some-not trademark.n.02 alarm.n.03; all trademark.n.02 alarm.n.03
all digit.n.03 external_body_part.n.01, no organ.n.01 external_body_part.n.01: some-not digit.n.03 organ.n.01; all digit.n.03 organ.n.01
all spy.n.02 spectator.n.01, no hearer.n.01 spectator.n.01: some-not spy.n.02 hearer.n.01; all spy.n.02 hearer.n.01
all annoyance.n.02 anger.n.01, no love.n.01 anger.n.01: some-not annoyance.n.02 love.n.01; all annoyance.n.02 love.n.01
all appellation.n.01 relation.n.01, no measure.n.02 relation.n.01: some-not appellation.n.01 measure.n.02; all appellation.n.01 measure.n.02
all english_person.n.01 britisher.n.01, no macedonian.n.01 britisher.n.01: some-not english_person.n.01 macedonian.n.01; all english_person.n.01 macedonian.n.01
all annoyance.n.02 feeling.n.01, no enlargement.n.02 feeling.n.01: some-not annoyance.n.02 enlargement.n.02; all annoyance.n.02 enlargement.n.02
all variety.n.03 biological_group.n.01, no people.n.01 biological_group.n.01: some-not variety.n.03 people.n.01; all variety.n.03 people.n.01
all apprehension.n.01 fear.n.01, no love.n.01 fear.n.01: some-not apprehension.n.01 love.n.01; all apprehension.n.01 love.n.01
all title.n.02 name.n.01, no word.n.01 name.n.01: some-not title.n.02 word.n.01; all title.n.02 word.n.01
all peptide.n.01 amide.n.01, no steroid.n.01 amide.n.01: some-not peptide.n.01 steroid.n.01; all peptide.n.01 steroid.n.01
all opiate.n.01 narcotic.n.01, no tranquilizer.n.01 narcotic.n.01: some-not opiate.n.01 tranquilizer.n.01; all opiate.n.01 tranquilizer.n.01
all distributor.n.01 supplier.n.01, no entrepreneur.n.01 supplier.n.01: some-not distributor.n.01 entrepreneur.n.01; all distributor.n.01 entrepreneur.n.01
all german.n.01 inhabitant.n.01, no friend.n.01 inhabitant.n.01: some-not german.n.01 friend.n.01; all german.n.01 friend.n.01
all writing.n.02 written_communication.n.01, no message.n.02 written_communication.n.01: some-not writing.n.02 message.n.02; all writing.n.02 message.n.02
all royalty.n.02 house.n.06, no dynasty.n.01 house.n.06: some-not royalty.n.02 dynasty.n.01; all royalty.n.02 dynasty.n.01
all colonizer.n.01 originator.n.01, no choreographer.n.01 originator.n.01: some-not colonizer.n.01 choreographer.n.01; all colonizer.n.01 choreographer.n.01
all dessert.n.01 nutriment.n.01, no foodstuff.n.02 nutriment.n.01: some-not dessert.n.01 foodstuff.n.02; all dessert.n.01 foodstuff.n.02
all virtue.n.04 good.n.02, no righteousness.n.01 good.n.02: some-not virtue.n.04 righteousness.n.01; all virtue.n.04 righteousness.n.01
all exhibitionist.n.01 compulsive.n.01, no friend.n.01 compulsive.n.01: some-not exhibitionist.n.01 friend.n.01; all exhibitionist.n.01 friend.n.01
all document.n.02 representation.n.02, no product.n.02 representation.n.02: some-not document.n.02 product.n.02; all document.n.02 product.n.02
all settler.n.01 migrant.n.01, no follower.n.02 migrant.n.01: some-not settler.n.01 follower.n.02; all settler.n.01 follower.n.02
all word.n.01 relation.n.01, no communication.n.02 relation.n.01: some-not word.n.01 communication.n.02; all word.n.01 communication.n.02
all reformer.n.01 disputant.n.01, no party.n.05 disputant.n.01: some-not reformer.n.01 party.n.05; all reformer.n.01 party.n.05
all apache.n.01 athapaskan.n.01, no pueblo.n.01 athapaskan.n.01: some-not apache.n.01 pueblo.n.01; all apache.n.01 pueblo.n.01
all discontentment.n.01 desire.n.01, no dislike.n.02 desire.n.01: some-not discontentment.n.01 dislike.n.02; all discontentment.n.01 dislike.n.02
all apprehension.n.01 fear.n.01, no joy.n.01 fear.n.01: some-not apprehension.n.01 joy.n.01; all apprehension.n.01 joy.n.01
all country.n.02 district.n.01, no municipality.n.01 district.n.01: some-not country.n.02 municipality.n.01; all country.n.02 municipality.n.01
all music.n.01 auditory_communication.n.01, no blues.n.01 auditory_communication.n.01: some-not music.n.01 blues.n.01; all music.n.01 blues.n.01
all print_media.n.01 medium.n.01, no equipment.n.01 medium.n.01: some-not print_media.n.01 equipment.n.01; all print_media.n.01 equipment.n.01
all pool.n.01 excavation.n.03, no commodity.n.01 excavation.n.03: some-not pool.n.01 commodity.n.01; all pool.n.01 commodity.n.01
all cartoonist.n.01 draftsman.n.02, no illustrator.n.01 draftsman.n.02: some-not cartoonist.n.01 illustrator.n.01; all cartoonist.n.01 illustrator.n.01
all musician.n.01 performer.n.01, no humorist.n.01 performer.n.01: some-not musician.n.01 humorist.n.01; all musician.n.01 humorist.n.01
all craft.n.02 conveyance.n.03, no weaponry.n.01 conveyance.n.03: some-not craft.n.02 weaponry.n.01; all craft.n.02 weaponry.n.01
all action.n.01 psychological_feature.n.01, no group.n.01 psychological_feature.n.01: some-not action.n.01 group.n.01; all action.n.01 group.n.01
all oil.n.01 lipid.n.01, no protein.n.01 lipid.n.01: some-not oil.n.01 protein.n.01; all oil.n.01 protein.n.01
all saint.n.01 spiritual_being.n.01, no doctrine.n.01 spiritual_being.n.01: some-not saint.n.01 doctrine.n.01; all saint.n.01 doctrine.n.01
all carbon.n.01 chemical_element.n.01, no fluid.n.01 chemical_element.n.01: some-not carbon.n.01 fluid.n.01; all carbon.n.01 fluid.n.01
all ability.n.02 cognition.n.01, no dancing.n.01 cognition.n.01: some-not ability.n.02 dancing.n.01; all ability.n.02 dancing.n.01
all catalyst.n.01 activator.n.01, no fluid.n.01 activator.n.01: some-not catalyst.n.01 fluid.n.01; all catalyst.n.01 fluid.n.01
all warplane.n.01 conveyance.n.03, no system.n.01 conveyance.n.03: some-not warplane.n.01 system.n.01; all warplane.n.01 system.n.01
all criminal.n.01 principal.n.05, no deceiver.n.01 principal.n.05: some-not criminal.n.01 deceiver.n.01; all criminal.n.01 deceiver.n.01
all tableware.n.01 article.n.02, no strip.n.02 article.n.02: some-not tableware.n.01 strip.n.02; all tableware.n.01 strip.n.02
all amine.n.01 methane_series.n.01, no alkene.n.01 methane_series.n.01: some-not amine.n.01 alkene.n.01; all amine.n.01 alkene.n.01
all happiness.n.01 emotional_state.n.01, no hate.n.01 emotional_state.n.01: some-not happiness.n.01 hate.n.01; all happiness.n.01 hate.n.01
all saboteur.n.01 destroyer.n.02, no wrongdoer.n.01 destroyer.n.02: some-not saboteur.n.01 wrongdoer.n.01; all saboteur.n.01 wrongdoer.n.01
all cement.n.03 adhesive_material.n.01, no paper.n.01 adhesive_material.n.01: some-not cement.n.03 paper.n.01; all cement.n.03 paper.n.01
all tableland.n.01 highland.n.01, no ridge.n.01 highland.n.01: some-not tableland.n.01 ridge.n.01; all tableland.n.01 ridge.n.01
all list.n.01 database.n.01, no secret.n.02 database.n.01: some-not list.n.01 secret.n.02; all list.n.01 secret.n.02
all taxonomic_group.n.01 biological_group.n.01, no people.n.01 biological_group.n.01: some-not taxonomic_group.n.01 people.n.01; all taxonomic_group.n.01 people.n.01
all music.n.01 auditory_communication.n.01, no signal.n.01 auditory_communication.n.01: some-not music.n.01 signal.n.01; all music.n.01 signal.n.01
all marchioness.n.02 lady.n.03, no queen.n.03 lady.n.03: some-not marchioness.n.02 queen.n.03; all marchioness.n.02 queen.n.03
all prosody.n.01 expressive_style.n.01, no blues.n.01 expressive_style.n.01: some-not prosody.n.01 blues.n.01; all prosody.n.01 blues.n.01
all insect.n.01 invertebrate.n.01, no female.n.01 invertebrate.n.01: some-not insect.n.01 female.n.01; all insect.n.01 female.n.01
all tableware.n.01 article.n.02, no aquarium.n.01 article.n.02: some-not tableware.n.01 aquarium.n.01; all tableware.n.01 aquarium.n.01
all manufacturer.n.02 maker.n.01, no inventor.n.01 maker.n.01: some-not manufacturer.n.02 inventor.n.01; all manufacturer.n.02 inventor.n.01
all lamp.n.01 source_of_illumination.n.01, no mechanism.n.05 source_of_illumination.n.01: some-not lamp.n.01 mechanism.n.05; all lamp.n.01 mechanism.n.05
all burn.n.03 injury.n.01, no infection.n.01 injury.n.01: some-not burn.n.03 infection.n.01; all burn.n.03 infection.n.01
all fete.n.01 party.n.04, no ceremony.n.01 party.n.04: some-not fete.n.01 ceremony.n.01; all fete.n.01 ceremony.n.01
all vehicle.n.01 conveyance.n.03, no system.n.01 conveyance.n.03: some-not vehicle.n.01 system.n.01; all vehicle.n.01 system.n.01
all rocket.n.01 conveyance.n.03, no system.n.01 conveyance.n.03: some-not rocket.n.01 system.n.01; all rocket.n.01 system.n.01
all cognition.n.01 psychological_feature.n.01, no set.n.02 psychological_feature.n.01: some-not cognition.n.01 set.n.02; all cognition.n.01 set.n.02
all happiness.n.01 emotional_state.n.01, no love.n.01 emotional_state.n.01: some-not happiness.n.01 love.n.01; all happiness.n.01 love.n.01
all aldohexose.n.01 carbohydrate.n.01, no protein.n.01 carbohydrate.n.01: some-not aldohexose.n.01 protein.n.01; all aldohexose.n.01 protein.n.01
all lover.n.03 domestic_partner.n.01, no confederate.n.01 domestic_partner.n.01: some-not lover.n.03 confederate.n.01; all lover.n.03 confederate.n.01
all event.n.01 psychological_feature.n.01, no group.n.01 psychological_feature.n.01: some-not event.n.01 group.n.01; all event.n.01 group.n.01
all shirt.n.01 garment.n.01, no accessory.n.01 garment.n.01: some-not shirt.n.01 accessory.n.01; all shirt.n.01 accessory.n.01
all gift.n.01 acquisition.n.02, no inheritance.n.02 acquisition.n.02: some-not gift.n.01 inheritance.n.02; all gift.n.01 inheritance.n.02
all macedonian.n.01 inhabitant.n.01, no preserver.n.03 inhabitant.n.01: some-not macedonian.n.01 preserver.n.03; all macedonian.n.01 preserver.n.03
all food.n.02 solid.n.01, no coal.n.01 solid.n.01: some-not food.n.02 coal.n.01; all food.n.02 coal.n.01
all aircraft.n.01 conveyance.n.03, no connection.n.03 conveyance.n.03: some-not aircraft.n.01 connection.n.03; all aircraft.n.01 connection.n.03
all part.n.01 relation.n.01, no communication.n.02 relation.n.01: some-not part.n.01 communication.n.02; all part.n.01 communication.n.02
all principality.n.01 domain.n.02, no municipality.n.01 domain.n.02: some-not principality.n.01 municipality.n.01; all principality.n.01 municipality.n.01
all surgeon.n.01 health_professional.n.01, no critic.n.01 health_professional.n.01: some-not surgeon.n.01 critic.n.01; all surgeon.n.01 critic.n.01
all biome.n.01 community.n.06, no arrangement.n.02 community.n.06: some-not biome.n.01 arrangement.n.02; all biome.n.01 arrangement.n.02
all brightness.n.01 visual_property.n.01, no manner.n.01 visual_property.n.01: some-not brightness.n.01 manner.n.01; all brightness.n.01 manner.n.01
all vector.n.03 causal_agent.n.01, no thing.n.12 causal_agent.n.01: some-not vector.n.03 thing.n.12; all vector.n.03 thing.n.12
all vehicle.n.01 conveyance.n.03, no connection.n.03 conveyance.n.03: some-not vehicle.n.01 connection.n.03; all vehicle.n.01 connection.n.03
all catalyst.n.01 activator.n.01, no material.n.01 activator.n.01: some-not catalyst.n.01 material.n.01; all catalyst.n.01 material.n.01
all faculty.n.01 cognition.n.01, no dancing.n.01 cognition.n.01: some-not faculty.n.01 dancing.n.01; all faculty.n.01 dancing.n.01
all orthography.n.01 writing.n.04, no writing.n.02 writing.n.04: some-not orthography.n.01 writing.n.02; all orthography.n.01 writing.n.02
all gospel.n.01 sacred_text.n.01, no document.n.01 sacred_text.n.01: some-not gospel.n.01 document.n.01; all gospel.n.01 document.n.01
all burn.n.03 injury.n.01, no pathology.n.02 injury.n.01: some-not burn.n.03 pathology.n.02; all burn.n.03 pathology.n.02
all press.n.02 medium.n.01, no device.n.01 medium.n.01: some-not press.n.02 device.n.01; all press.n.02 device.n.01
all possession.n.02 relation.n.01, no group.n.01 relation.n.01: some-not possession.n.02 group.n.01; all possession.n.02 group.n.01
all lithographer.n.01 printmaker.n.01, no sculptor.n.01 printmaker.n.01: some-not lithographer.n.01 sculptor.n.01; all lithographer.n.01 sculptor.n.01
all peptide.n.01 amide.n.01, no hydrocarbon.n.01 amide.n.01: some-not peptide.n.01 hydrocarbon.n.01; all peptide.n.01 hydrocarbon.n.01
all rate.n.01 relation.n.01, no attribute.n.02 relation.n.01: some-not rate.n.01 attribute.n.02; all rate.n.01 attribute.n.02
all ornithologist.n.01 zoologist.n.01, no bacteriologist.n.01 zoologist.n.01: some-not ornithologist.n.01 bacteriologist.n.01; all ornithologist.n.01 bacteriologist.n.01
all drummer.n.01 percussionist.n.01, no guitarist.n.01 percussionist.n.01: some-not drummer.n.01 guitarist.n.01; all drummer.n.01 guitarist.n.01
all country.n.02 district.n.01, no area.n.01 district.n.01: some-not country.n.02 area.n.01; all country.n.02 area.n.01
all rope.n.01 line.n.18, no facility.n.04 line.n.18: some-not rope.n.01 facility.n.04; all rope.n.01 facility.n.04
all transaction.n.01 psychological_feature.n.01, no group.n.01 psychological_feature.n.01: some-not transaction.n.01 group.n.01; all transaction.n.01 group.n.01
all gift.n.01 relation.n.01, no temperature.n.01 relation.n.01: some-not gift.n.01 temperature.n.01; all gift.n.01 temperature.n.01
all aid.n.03 acquisition.n.02, no inheritance.n.02 acquisition.n.02: some-not aid.n.03 inheritance.n.02; all aid.n.03 inheritance.n.02
all killing.n.02 event.n.01, no dancing.n.01 event.n.01: some-not killing.n.02 dancing.n.01; all killing.n.02 dancing.n.01
all basic_cognitive_process.n.01 process.n.02, no process.n.04 process.n.02: some-not basic_cognitive_process.n.01 process.n.04; all basic_cognitive_process.n.01 process.n.04
all remark.n.01 statement.n.01, no disrespect.n.01 statement.n.01: some-not remark.n.01 disrespect.n.01; all remark.n.01 disrespect.n.01
all activity.n.01 psychological_feature.n.01, no attribute.n.02 psychological_feature.n.01: some-not activity.n.01 attribute.n.02; all activity.n.01 attribute.n.02
all order.n.12 biological_group.n.01, no collection.n.01 biological_group.n.01: some-not order.n.12 collection.n.01; all order.n.12 collection.n.01
all aluminum.n.01 chemical_element.n.01, no mixture.n.01 chemical_element.n.01: some-not aluminum.n.01 mixture.n.01; all aluminum.n.01 mixture.n.01
all tableware.n.01 article.n.02, no instrumentality.n.03 article.n.02: some-not tableware.n.01 instrumentality.n.03; all tableware.n.01 instrumentality.n.03
all colonizer.n.01 originator.n.01, no artist.n.01 originator.n.01: some-not colonizer.n.01 artist.n.01; all colonizer.n.01 artist.n.01
all art.n.02 creation.n.01, no worship.n.01 creation.n.01: some-not art.n.02 worship.n.01; all art.n.02 worship.n.01
all steering.n.02 control.n.05, no music.n.03 control.n.05: some-not steering.n.02 music.n.03; all steering.n.02 music.n.03
all abbess.n.01 superior.n.02, no monk.n.01 superior.n.02: some-not abbess.n.01 monk.n.01; all abbess.n.01 monk.n.01
all colonizer.n.01 originator.n.01, no architect.n.01 originator.n.01: some-not colonizer.n.01 architect.n.01; all colonizer.n.01 architect.n.01
all process.n.04 psychological_feature.n.01, no set.n.02 psychological_feature.n.01: some-not process.n.04 set.n.02; all process.n.04 set.n.02
all lye.n.01 caustic.n.01, no oxide.n.01 caustic.n.01: some-not lye.n.01 oxide.n.01; all lye.n.01 oxide.n.01
all aluminum.n.01 metallic_element.n.01, no carbon.n.01 metallic_element.n.01: some-not aluminum.n.01 carbon.n.01; all aluminum.n.01 carbon.n.01
all managed_economy.n.01 system.n.02, no collection.n.01 system.n.02: some-not managed_economy.n.01 collection.n.01; all managed_economy.n.01 collection.n.01
all consumer.n.01 user.n.01, no creator.n.02 user.n.01: some-not consumer.n.01 creator.n.02; all consumer.n.01 creator.n.02
all anemia.n.01 dyscrasia.n.01, no infection.n.01 dyscrasia.n.01: some-not anemia.n.01 infection.n.01; all anemia.n.01 infection.n.01
all bound_morpheme.n.01 relation.n.01, no attribute.n.02 relation.n.01: some-not bound_morpheme.n.01 attribute.n.02; all bound_morpheme.n.01 attribute.n.02
all specialist.n.02 health_professional.n.01, no lawyer.n.01 health_professional.n.01: some-not specialist.n.02 lawyer.n.01; all specialist.n.02 lawyer.n.01
all age.n.03 time_of_life.n.01, no era.n.01 time_of_life.n.01: some-not age.n.03 era.n.01; all age.n.03 era.n.01
all gem.n.02 crystal.n.01, no food.n.02 crystal.n.01: some-not gem.n.02 food.n.02; all gem.n.02 food.n.02
all queen.n.02 female_aristocrat.n.01, no prince.n.01 female_aristocrat.n.01: some-not queen.n.02 prince.n.01; all queen.n.02 prince.n.01
all sensing.n.02 sensory_activity.n.01, no wrongdoing.n.02 sensory_activity.n.01: some-not sensing.n.02 wrongdoing.n.02; all sensing.n.02 wrongdoing.n.02
all affix.n.01 bound_morpheme.n.01, no ending.n.01 bound_morpheme.n.01: some-not affix.n.01 ending.n.01; all affix.n.01 ending.n.01
all vehicle.n.01 conveyance.n.03, no furnishing.n.02 conveyance.n.03: some-not vehicle.n.01 furnishing.n.02; all vehicle.n.01 furnishing.n.02
all motor_vehicle.n.01 wheeled_vehicle.n.01, no rocket.n.01 wheeled_vehicle.n.01: some-not motor_vehicle.n.01 rocket.n.01; all motor_vehicle.n.01 rocket.n.01
all fish.n.01 aquatic_vertebrate.n.01, no bird.n.01 aquatic_vertebrate.n.01: some-not fish.n.01 bird.n.01; all fish.n.01 bird.n.01
all terrorist.n.01 radical.n.03, no case.n.06 radical.n.03: some-not terrorist.n.01 case.n.06; all terrorist.n.01 case.n.06
all demonstration.n.05 visual_communication.n.01, no message.n.02 visual_communication.n.01: some-not demonstration.n.05 message.n.02; all demonstration.n.05 message.n.02
all agent.n.01 causal_agent.n.01, no object.n.01 causal_agent.n.01: some-not agent.n.01 object.n.01; all agent.n.01 object.n.01
all cartoonist.n.01 draftsman.n.02, no sculptor.n.01 draftsman.n.02: some-not cartoonist.n.01 sculptor.n.01; all cartoonist.n.01 sculptor.n.01
all secretion.n.02 body_substance.n.01, no mixture.n.01 body_substance.n.01: some-not secretion.n.02 mixture.n.01; all secretion.n.02 mixture.n.01
all cooperation.n.01 psychological_feature.n.01, no temperature.n.01 psychological_feature.n.01: some-not cooperation.n.01 temperature.n.01; all cooperation.n.01 temperature.n.01
all blood_disease.n.01 dyscrasia.n.01, no illness.n.01 dyscrasia.n.01: some-not blood_disease.n.01 illness.n.01; all blood_disease.n.01 illness.n.01
all profanity.n.01 utterance.n.01, no music.n.01 utterance.n.01: some-not profanity.n.01 music.n.01; all profanity.n.01 music.n.01
all possession.n.02 relation.n.01, no temperature.n.01 relation.n.01: some-not possession.n.02 temperature.n.01; all possession.n.02 temperature.n.01
all absence.n.02 group_action.n.01, no activity.n.01 group_action.n.01: some-not absence.n.02 activity.n.01; all absence.n.02 activity.n.01
all family.n.04 kin.n.02, no subculture.n.01 kin.n.02: some-not family.n.04 subculture.n.01; all family.n.04 subculture.n.01
