all medium.n.07 substance.n.01, all substance.n.01 entity.n.01: some medium.n.07 entity.n.01; no medium.n.07 entity.n.01
all crime.n.01 wrongdoing.n.02, all wrongdoing.n.02 entity.n.01: some crime.n.01 entity.n.01; no crime.n.01 entity.n.01
all philosopher.n.01 scholar.n.01, all scholar.n.01 entity.n.01: some philosopher.n.01 entity.n.01; no philosopher.n.01 entity.n.01
all preacher.n.01 clergyman.n.01, all clergyman.n.01 person.n.01: some preacher.n.01 person.n.01; no preacher.n.01 person.n.01
all knowledge_domain.n.01 cognition.n.01, all cognition.n.01 entity.n.01: some knowledge_domain.n.01 entity.n.01; no knowledge_domain.n.01 entity.n.01
all sin.v.01 relate.v.05, all relate.v.05 interact.v.01: some sin.v.01 interact.v.01; no sin.v.01 interact.v.01
all scientist.n.01 person.n.01, all person.n.01 physical_entity.n.01: some scientist.n.01 physical_entity.n.01; no scientist.n.01 physical_entity.n.01
all structure.n.01 whole.n.02, all whole.n.02 physical_entity.n.01: some structure.n.01 physical_entity.n.01; no structure.n.01 physical_entity.n.01
all social_scientist.n.01 person.n.01, all person.n.01 physical_entity.n.01: some social_scientist.n.01 physical_entity.n.01; no social_scientist.n.01 physical_entity.n.01
all biologist.n.01 person.n.01, all person.n.01 physical_entity.n.01: some biologist.n.01 physical_entity.n.01; no biologist.n.01 physical_entity.n.01
all activity.n.01 event.n.01, all event.n.01 entity.n.01: some activity.n.01 entity.n.01; no activity.n.01 entity.n.01
all feldspar.n.01 spar.n.01, all spar.n.01 entity.n.01: some feldspar.n.01 entity.n.01; no feldspar.n.01 entity.n.01
all performer.n.01 entertainer.n.01, all entertainer.n.01 person.n.01: some performer.n.01 person.n.01; no performer.n.01 person.n.01
all spy.n.01 representative.n.01, all representative.n.01 physical_entity.n.01: some spy.n.01 physical_entity.n.01; no spy.n.01 physical_entity.n.01
all dissociation.n.02 condition.n.01, all condition.n.01 abstraction.n.06: some dissociation.n.02 abstraction.n.06; no dissociation.n.02 abstraction.n.06
all record.v.01 keep.v.03, all keep.v.03 have.v.01: some record.v.01 have.v.01; no record.v.01 have.v.01
all liquid.n.03 matter.n.03, all matter.n.03 entity.n.01: some liquid.n.03 entity.n.01; no liquid.n.03 entity.n.01
all craft.n.02 artifact.n.01, all artifact.n.01 entity.n.01: some craft.n.02 entity.n.01; no craft.n.02 entity.n.01
all equipment.n.01 whole.n.02, all whole.n.02 entity.n.01: some equipment.n.01 entity.n.01; no equipment.n.01 entity.n.01
all creator.n.02 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some creator.n.02 entity.n.01; no creator.n.02 entity.n.01
all bonus.n.02 cost.n.01, all cost.n.01 transferred_property.n.01: some bonus.n.02 transferred_property.n.01; no bonus.n.02 transferred_property.n.01
all social_event.n.01 psychological_feature.n.01, all psychological_feature.n.01 entity.n.01: some social_event.n.01 entity.n.01; no social_event.n.01 entity.n.01
all people.n.01 group.n.01, all group.n.01 entity.n.01: some people.n.01 entity.n.01; no people.n.01 entity.n.01
all secret.n.02 message.n.02, all message.n.02 communication.n.02: some secret.n.02 communication.n.02; no secret.n.02 communication.n.02
all caricaturist.n.01 parodist.n.01, all parodist.n.01 entity.n.01: some caricaturist.n.01 entity.n.01; no caricaturist.n.01 entity.n.01
all leader.n.01 person.n.01, all person.n.01 physical_entity.n.01: some leader.n.01 physical_entity.n.01; no leader.n.01 physical_entity.n.01
all variety.n.03 biological_group.n.01, all biological_group.n.01 entity.n.01: some variety.n.03 entity.n.01; no variety.n.03 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some person.n.01 entity.n.01; no person.n.01 entity.n.01
all board.n.03 artifact.n.01, all artifact.n.01 entity.n.01: some board.n.03 entity.n.01; no board.n.03 entity.n.01
all whole.n.02 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some whole.n.02 entity.n.01; no whole.n.02 entity.n.01
all soil.n.02 earth.n.02, all earth.n.02 material.n.01: some soil.n.02 material.n.01; no soil.n.02 material.n.01
all young.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some young.n.01 entity.n.01; no young.n.01 entity.n.01
all box.n.02 compartment.n.02, all compartment.n.02 structure.n.01: some box.n.02 structure.n.01; no box.n.02 structure.n.01
all event.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some event.n.01 entity.n.01; no event.n.01 entity.n.01
all family.n.06 taxonomic_group.n.01, all taxonomic_group.n.01 abstraction.n.06: some family.n.06 abstraction.n.06; no family.n.06 abstraction.n.06
all body_covering.n.01 covering.n.01, all covering.n.01 natural_object.n.01: some body_covering.n.01 natural_object.n.01; no body_covering.n.01 natural_object.n.01
all producer.n.02 person.n.01, all person.n.01 entity.n.01: some producer.n.02 entity.n.01; no producer.n.02 entity.n.01
all time_period.n.01 fundamental_quantity.n.01, all fundamental_quantity.n.01 entity.n.01: some time_period.n.01 entity.n.01; no time_period.n.01 entity.n.01
all cutting_implement.n.01 instrumentality.n.03, all instrumentality.n.03 whole.n.02: some cutting_implement.n.01 whole.n.02; no cutting_implement.n.01 whole.n.02
all activity.n.01 event.n.01, all event.n.01 psychological_feature.n.01: some activity.n.01 psychological_feature.n.01; no activity.n.01 psychological_feature.n.01
all tableware.n.01 artifact.n.01, all artifact.n.01 object.n.01: some tableware.n.01 object.n.01; no tableware.n.01 object.n.01
all protoctist.n.01 living_thing.n.01, all living_thing.n.01 object.n.01: some protoctist.n.01 object.n.01; no protoctist.n.01 object.n.01
all device.n.01 artifact.n.01, all artifact.n.01 physical_entity.n.01: some device.n.01 physical_entity.n.01; no device.n.01 physical_entity.n.01
all scientist.n.01 person.n.01, all person.n.01 physical_entity.n.01: some scientist.n.01 physical_entity.n.01; no scientist.n.01 physical_entity.n.01
all currency.n.01 medium_of_exchange.n.01, all medium_of_exchange.n.01 abstraction.n.06: some currency.n.01 abstraction.n.06; no currency.n.01 abstraction.n.06
all definite_quantity.n.01 measure.n.02, all measure.n.02 abstraction.n.06: some definite_quantity.n.01 abstraction.n.06; no definite_quantity.n.01 abstraction.n.06
all party.n.05 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some party.n.05 entity.n.01; no party.n.05 entity.n.01
all lodge.n.05 object.n.01, all object.n.01 physical_entity.n.01: some lodge.n.05 physical_entity.n.01; no lodge.n.05 physical_entity.n.01
all state.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: some state.n.02 entity.n.01; no state.n.02 entity.n.01
all spread.n.07 material.n.01, all material.n.01 entity.n.01: some spread.n.07 entity.n.01; no spread.n.07 entity.n.01
all jail.n.01 establishment.n.04, all establishment.n.04 whole.n.02: some jail.n.01 whole.n.02; no jail.n.01 whole.n.02
all jew.n.01 person.n.01, all person.n.01 entity.n.01: some jew.n.01 entity.n.01; no jew.n.01 entity.n.01
all extremity.n.04 region.n.01, all region.n.01 object.n.01: some extremity.n.04 object.n.01; no extremity.n.04 object.n.01
all medicine.n.02 drug.n.01, all drug.n.01 entity.n.01: some medicine.n.02 entity.n.01; no medicine.n.02 entity.n.01
all device.n.01 artifact.n.01, all artifact.n.01 entity.n.01: some device.n.01 entity.n.01; no device.n.01 entity.n.01
all discretion.n.05 wisdom.n.02, all wisdom.n.02 trait.n.01: some discretion.n.05 trait.n.01; no discretion.n.05 trait.n.01
all religious_person.n.01 person.n.01, all person.n.01 entity.n.01: some religious_person.n.01 entity.n.01; no religious_person.n.01 entity.n.01
all garment.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some garment.n.01 entity.n.01; no garment.n.01 entity.n.01
all salt.n.01 substance.n.01, all substance.n.01 entity.n.01: some salt.n.01 entity.n.01; no salt.n.01 entity.n.01
all hydroxide.n.01 material.n.01, all material.n.01 substance.n.01: some hydroxide.n.01 substance.n.01; no hydroxide.n.01 substance.n.01
all coal.n.01 matter.n.03, all matter.n.03 physical_entity.n.01: some coal.n.01 physical_entity.n.01; no coal.n.01 physical_entity.n.01
all reformer.n.01 disputant.n.01, all disputant.n.01 entity.n.01: some reformer.n.01 entity.n.01; no reformer.n.01 entity.n.01
all panacea.n.02 agent.n.03, all agent.n.03 entity.n.01: some panacea.n.02 entity.n.01; no panacea.n.02 entity.n.01
all terror.n.04 social_control.n.01, all social_control.n.01 entity.n.01: some terror.n.04 entity.n.01; no terror.n.04 entity.n.01
all strip.n.02 whole.n.02, all whole.n.02 entity.n.01: some strip.n.02 entity.n.01; no strip.n.02 entity.n.01
all motto.n.01 communication.n.02, all communication.n.02 entity.n.01: some motto.n.01 entity.n.01; no motto.n.01 entity.n.01
all dissenter.n.01 person.n.01, all person.n.01 entity.n.01: some dissenter.n.01 entity.n.01; no dissenter.n.01 entity.n.01
all beauty.n.01 quality.n.01, all quality.n.01 attribute.n.02: some beauty.n.01 attribute.n.02; no beauty.n.01 attribute.n.02
all blemish.n.01 quality.n.01, all quality.n.01 entity.n.01: some blemish.n.01 entity.n.01; no blemish.n.01 entity.n.01
all joy.n.01 state.n.02, all state.n.02 attribute.n.02: some joy.n.01 attribute.n.02; no joy.n.01 attribute.n.02
all part.n.01 relation.n.01, all relation.n.01 entity.n.01: some part.n.01 entity.n.01; no part.n.01 entity.n.01
all container.n.01 whole.n.02, all whole.n.02 physical_entity.n.01: some container.n.01 physical_entity.n.01; no container.n.01 physical_entity.n.01
all male_aristocrat.n.01 aristocrat.n.01, all aristocrat.n.01 person.n.01: some male_aristocrat.n.01 person.n.01; no male_aristocrat.n.01 person.n.01
all system.n.01 artifact.n.01, all artifact.n.01 whole.n.02: some system.n.01 whole.n.02; no system.n.01 whole.n.02
all oil.n.01 macromolecule.n.01, all macromolecule.n.01 entity.n.01: some oil.n.01 entity.n.01; no oil.n.01 entity.n.01
all instrumentality.n.03 object.n.01, all object.n.01 physical_entity.n.01: some instrumentality.n.03 physical_entity.n.01; no instrumentality.n.03 physical_entity.n.01
all document.n.03 communication.n.02, all communication.n.02 abstraction.n.06: some document.n.03 abstraction.n.06; no document.n.03 abstraction.n.06
all entrepreneur.n.01 person.n.01, all person.n.01 entity.n.01: some entrepreneur.n.01 entity.n.01; no entrepreneur.n.01 entity.n.01
all performer.n.01 entertainer.n.01, all entertainer.n.01 physical_entity.n.01: some performer.n.01 physical_entity.n.01; no performer.n.01 physical_entity.n.01
all commissioned_officer.n.01 worker.n.01, all worker.n.01 physical_entity.n.01: some commissioned_officer.n.01 physical_entity.n.01; no commissioned_officer.n.01 physical_entity.n.01
all deity.n.01 spiritual_being.n.01, all spiritual_being.n.01 abstraction.n.06: some deity.n.01 abstraction.n.06; no deity.n.01 abstraction.n.06
all snoop.n.01 spy.n.02, all spy.n.02 perceiver.n.01: some snoop.n.01 perceiver.n.01; no snoop.n.01 perceiver.n.01
all antidote.n.01 drug.n.01, all drug.n.01 physical_entity.n.01: some antidote.n.01 physical_entity.n.01; no antidote.n.01 physical_entity.n.01
all object.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some object.n.01 entity.n.01; no object.n.01 entity.n.01
all drupe.n.01 reproductive_structure.n.01, all reproductive_structure.n.01 plant_organ.n.01: some drupe.n.01 plant_organ.n.01; no drupe.n.01 plant_organ.n.01
all reproductive_organ.n.01 body_part.n.01, all body_part.n.01 physical_entity.n.01: some reproductive_organ.n.01 physical_entity.n.01; no reproductive_organ.n.01 physical_entity.n.01
all poison.n.01 substance.n.07, all substance.n.07 matter.n.03: some poison.n.01 matter.n.03; no poison.n.01 matter.n.03
all drive.v.01 handle.v.04, all handle.v.04 touch.v.01: some drive.v.01 touch.v.01; no drive.v.01 touch.v.01
all musician.n.01 entertainer.n.01, all entertainer.n.01 person.n.01: some musician.n.01 person.n.01; no musician.n.01 person.n.01
all strip.n.05 lumber.n.01, all lumber.n.01 artifact.n.01: some strip.n.05 artifact.n.01; no strip.n.05 artifact.n.01
all carthaginian.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some carthaginian.n.01 entity.n.01; no carthaginian.n.01 entity.n.01
all artifact.n.01 object.n.01, all object.n.01 entity.n.01: some artifact.n.01 entity.n.01; no artifact.n.01 entity.n.01
all compound.n.02 material.n.01, all material.n.01 substance.n.01: some compound.n.02 substance.n.01; no compound.n.02 substance.n.01
all layer.n.01 object.n.01, all object.n.01 physical_entity.n.01: some layer.n.01 physical_entity.n.01; no layer.n.01 physical_entity.n.01
all south.n.01 geographical_area.n.01, all geographical_area.n.01 region.n.03: some south.n.01 region.n.03; no south.n.01 region.n.03
all utterance.n.01 auditory_communication.n.01, all auditory_communication.n.01 entity.n.01: some utterance.n.01 entity.n.01; no utterance.n.01 entity.n.01
all unit.n.03 organization.n.01, all organization.n.01 entity.n.01: some unit.n.03 entity.n.01; no unit.n.03 entity.n.01
all definite_quantity.n.01 measure.n.02, all measure.n.02 abstraction.n.06: some definite_quantity.n.01 abstraction.n.06; no definite_quantity.n.01 abstraction.n.06
all book.n.10 section.n.01, all section.n.01 communication.n.02: some book.n.10 communication.n.02; no book.n.10 communication.n.02
all act.n.02 event.n.01, all event.n.01 psychological_feature.n.01: some act.n.02 psychological_feature.n.01; no act.n.02 psychological_feature.n.01
all scientist.n.01 person.n.01, all person.n.01 physical_entity.n.01: some scientist.n.01 physical_entity.n.01; no scientist.n.01 physical_entity.n.01
all representation.n.02 creation.n.02, all creation.n.02 artifact.n.01: some representation.n.02 artifact.n.01; no representation.n.02 artifact.n.01
all skilled_worker.n.01 worker.n.01, all worker.n.01 entity.n.01: some skilled_worker.n.01 entity.n.01; no skilled_worker.n.01 entity.n.01
all condition.n.01 state.n.02, all state.n.02 attribute.n.02: some condition.n.01 attribute.n.02; no condition.n.01 attribute.n.02
all traveler.n.01 person.n.01, all person.n.01 entity.n.01: some traveler.n.01 entity.n.01; no traveler.n.01 entity.n.01
all fabric.n.01 artifact.n.01, all artifact.n.01 object.n.01: some fabric.n.01 object.n.01; no fabric.n.01 object.n.01
all property.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: some property.n.02 entity.n.01; no property.n.02 entity.n.01
all man.n.01 person.n.01, all person.n.01 entity.n.01: some man.n.01 entity.n.01; no man.n.01 entity.n.01
all scientist.n.01 person.n.01, all person.n.01 entity.n.01: some scientist.n.01 entity.n.01; no scientist.n.01 entity.n.01
all poet.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some poet.n.01 entity.n.01; no poet.n.01 entity.n.01
all cell.n.02 whole.n.02, all whole.n.02 entity.n.01: some cell.n.02 entity.n.01; no cell.n.02 entity.n.01
all illustrator.n.01 artist.n.01, all artist.n.01 creator.n.02: some illustrator.n.01 creator.n.02; no illustrator.n.01 creator.n.02
all nigerian.n.01 person.n.01, all person.n.01 physical_entity.n.01: some nigerian.n.01 physical_entity.n.01; no nigerian.n.01 physical_entity.n.01
all food.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some food.n.01 entity.n.01; no food.n.01 entity.n.01
all anemia.n.01 physical_condition.n.01, all physical_condition.n.01 attribute.n.02: some anemia.n.01 attribute.n.02; no anemia.n.01 attribute.n.02
all whole.n.02 object.n.01, all object.n.01 entity.n.01: some whole.n.02 entity.n.01; no whole.n.02 entity.n.01
all living_thing.n.01 object.n.01, all object.n.01 physical_entity.n.01: some living_thing.n.01 physical_entity.n.01; no living_thing.n.01 physical_entity.n.01
all car.n.01 whole.n.02, all whole.n.02 physical_entity.n.01: some car.n.01 physical_entity.n.01; no car.n.01 physical_entity.n.01
all consumer.n.01 user.n.01, all user.n.01 physical_entity.n.01: some consumer.n.01 physical_entity.n.01; no consumer.n.01 physical_entity.n.01
all vehicle.n.01 whole.n.02, all whole.n.02 physical_entity.n.01: some vehicle.n.01 physical_entity.n.01; no vehicle.n.01 physical_entity.n.01
all social_event.n.01 psychological_feature.n.01, all psychological_feature.n.01 abstraction.n.06: some social_event.n.01 abstraction.n.06; no social_event.n.01 abstraction.n.06
all building.n.01 whole.n.02, all whole.n.02 physical_entity.n.01: some building.n.01 physical_entity.n.01; no building.n.01 physical_entity.n.01
all representative.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some representative.n.01 entity.n.01; no representative.n.01 entity.n.01
all body_part.n.01 thing.n.12, all thing.n.12 entity.n.01: some body_part.n.01 entity.n.01; no body_part.n.01 entity.n.01
all disk.n.02 whole.n.02, all whole.n.02 physical_entity.n.01: some disk.n.02 physical_entity.n.01; no disk.n.02 physical_entity.n.01
all classicist.n.02 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some classicist.n.02 entity.n.01; no classicist.n.02 entity.n.01
all artifact.n.01 whole.n.02, all whole.n.02 physical_entity.n.01: some artifact.n.01 physical_entity.n.01; no artifact.n.01 physical_entity.n.01
all instrumentality.n.03 whole.n.02, all whole.n.02 physical_entity.n.01: some instrumentality.n.03 physical_entity.n.01; no instrumentality.n.03 physical_entity.n.01
all unfortunate.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some unfortunate.n.01 entity.n.01; no unfortunate.n.01 entity.n.01
all artifact.n.01 object.n.01, all object.n.01 physical_entity.n.01: some artifact.n.01 physical_entity.n.01; no artifact.n.01 physical_entity.n.01
all artifact.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some artifact.n.01 entity.n.01; no artifact.n.01 entity.n.01
all creativity.n.01 ability.n.02, all ability.n.02 cognition.n.01: some creativity.n.01 cognition.n.01; no creativity.n.01 cognition.n.01
all part.n.03 thing.n.12, all thing.n.12 entity.n.01: some part.n.03 entity.n.01; no part.n.03 entity.n.01
all vertebrate.n.01 organism.n.01, all organism.n.01 living_thing.n.01: some vertebrate.n.01 living_thing.n.01; no vertebrate.n.01 living_thing.n.01
all covering.n.01 whole.n.02, all whole.n.02 physical_entity.n.01: some covering.n.01 physical_entity.n.01; no covering.n.01 physical_entity.n.01
all block.n.01 artifact.n.01, all artifact.n.01 physical_entity.n.01: some block.n.01 physical_entity.n.01; no block.n.01 physical_entity.n.01
all object.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some object.n.01 entity.n.01; no object.n.01 entity.n.01
all chordate.n.01 whole.n.02, all whole.n.02 object.n.01: some chordate.n.01 object.n.01; no chordate.n.01 object.n.01
all erythema.n.01 erythroderma.n.01, all erythroderma.n.01 attribute.n.02: some erythema.n.01 attribute.n.02; no erythema.n.01 attribute.n.02
all toxin.n.01 poison.n.01, all poison.n.01 matter.n.03: some toxin.n.01 matter.n.03; no toxin.n.01 matter.n.03
all chemical.n.01 material.n.01, all material.n.01 entity.n.01: some chemical.n.01 entity.n.01; no chemical.n.01 entity.n.01
all foodstuff.n.02 substance.n.07, all substance.n.07 entity.n.01: some foodstuff.n.02 entity.n.01; no foodstuff.n.02 entity.n.01
all anatomist.n.01 expert.n.01, all expert.n.01 person.n.01: some anatomist.n.01 person.n.01; no anatomist.n.01 person.n.01
all perversion.n.02 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some perversion.n.02 entity.n.01; no perversion.n.02 entity.n.01
all protein.n.01 macromolecule.n.01, all macromolecule.n.01 entity.n.01: some protein.n.01 entity.n.01; no protein.n.01 entity.n.01
all texture.n.01 tactile_property.n.01, all tactile_property.n.01 property.n.02: some texture.n.01 property.n.02; no texture.n.01 property.n.02
all fiber.n.01 material.n.01, all material.n.01 substance.n.01: some fiber.n.01 substance.n.01; no fiber.n.01 substance.n.01
all student.n.01 enrollee.n.01, all enrollee.n.01 physical_entity.n.01: some student.n.01 physical_entity.n.01; no student.n.01 physical_entity.n.01
all change_of_location.n.01 happening.n.01, all happening.n.01 event.n.01: some change_of_location.n.01 event.n.01; no change_of_location.n.01 event.n.01
all substance.n.07 matter.n.03, all matter.n.03 physical_entity.n.01: some substance.n.07 physical_entity.n.01; no substance.n.07 physical_entity.n.01
all object.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some object.n.01 entity.n.01; no object.n.01 entity.n.01
all defamation.n.01 disrespect.n.01, all disrespect.n.01 message.n.02: some defamation.n.01 message.n.02; no defamation.n.01 message.n.02
all animal.n.01 object.n.01, all object.n.01 physical_entity.n.01: some animal.n.01 physical_entity.n.01; no animal.n.01 physical_entity.n.01
all skilled_worker.n.01 worker.n.01, all worker.n.01 physical_entity.n.01: some skilled_worker.n.01 physical_entity.n.01; no skilled_worker.n.01 physical_entity.n.01
all pilot.n.01 skilled_worker.n.01, all skilled_worker.n.01 entity.n.01: some pilot.n.01 entity.n.01; no pilot.n.01 entity.n.01
all athapaskan.n.01 person.n.01, all person.n.01 entity.n.01: some athapaskan.n.01 entity.n.01; no athapaskan.n.01 entity.n.01
all group.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: some group.n.01 entity.n.01; no group.n.01 entity.n.01
all solid.n.03 attribute.n.02, all attribute.n.02 entity.n.01: some solid.n.03 entity.n.01; no solid.n.03 entity.n.01
all device.n.01 instrumentality.n.03, all instrumentality.n.03 object.n.01: some device.n.01 object.n.01; no device.n.01 object.n.01
all scout.n.04 person.n.01, all person.n.01 physical_entity.n.01: some scout.n.04 physical_entity.n.01; no scout.n.04 physical_entity.n.01
all wave.n.01 movement.n.03, all movement.n.03 event.n.01: some wave.n.01 event.n.01; no wave.n.01 event.n.01
all psychologist.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some psychologist.n.01 entity.n.01; no psychologist.n.01 entity.n.01
all child.n.02 person.n.01, all person.n.01 entity.n.01: some child.n.02 entity.n.01; no child.n.02 entity.n.01
all happening.n.01 event.n.01, all event.n.01 abstraction.n.06: some happening.n.01 abstraction.n.06; no happening.n.01 abstraction.n.06
all progenitor.n.01 ancestor.n.01, all ancestor.n.01 person.n.01: some progenitor.n.01 person.n.01; no progenitor.n.01 person.n.01
all adjective.n.01 content_word.n.01, all content_word.n.01 part.n.01: some adjective.n.01 part.n.01; no adjective.n.01 part.n.01
all revolutionist.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some revolutionist.n.01 entity.n.01; no revolutionist.n.01 entity.n.01
all devotion.n.04 psychological_feature.n.01, all psychological_feature.n.01 entity.n.01: some devotion.n.04 entity.n.01; no devotion.n.04 entity.n.01
all communist.n.02 person.n.01, all person.n.01 physical_entity.n.01: some communist.n.02 physical_entity.n.01; no communist.n.02 physical_entity.n.01
all product.n.02 whole.n.02, all whole.n.02 object.n.01: some product.n.02 object.n.01; no product.n.02 object.n.01
all shirt.n.01 whole.n.02, all whole.n.02 object.n.01: some shirt.n.01 object.n.01; no shirt.n.01 object.n.01
all artifact.n.01 object.n.01, all object.n.01 entity.n.01: some artifact.n.01 entity.n.01; no artifact.n.01 entity.n.01
all mineral.n.01 material.n.01, all material.n.01 substance.n.01: some mineral.n.01 substance.n.01; no mineral.n.01 substance.n.01
all cooling.n.01 temperature_change.n.01, all temperature_change.n.01 physical_entity.n.01: some cooling.n.01 physical_entity.n.01; no cooling.n.01 physical_entity.n.01
all content.n.05 cognition.n.01, all cognition.n.01 abstraction.n.06: some content.n.05 abstraction.n.06; no content.n.05 abstraction.n.06
all writing.n.02 abstraction.n.06, all abstraction.n.06 entity.n.01: some writing.n.02 entity.n.01; no writing.n.02 entity.n.01
all judge.n.01 person.n.01, all person.n.01 physical_entity.n.01: some judge.n.01 physical_entity.n.01; no judge.n.01 physical_entity.n.01
all natural_object.n.01 whole.n.02, all whole.n.02 object.n.01: some natural_object.n.01 object.n.01; no natural_object.n.01 object.n.01
all object.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: some object.n.01 entity.n.01; no object.n.01 entity.n.01
all whole.n.02 object.n.01, all object.n.01 entity.n.01: some whole.n.02 entity.n.01; no whole.n.02 entity.n.01
all ill_health.n.01 attribute.n.02, all attribute.n.02 entity.n.01: some ill_health.n.01 entity.n.01; no ill_health.n.01 entity.n.01
all emotion.n.01 state.n.02, all state.n.02 entity.n.01: some emotion.n.01 entity.n.01; no emotion.n.01 entity.n.01
