all disgust.n.01 part.n.02, some-not disgust.n.01 dislike.n.02: some-not part.n.02 dislike.n.02; all part.n.02 dislike.n.02
all insurgent.n.01 statesman.n.01, some-not insurgent.n.01 person.n.01: some-not statesman.n.01 person.n.01; all statesman.n.01 person.n.01
all handle.n.01 object.n.01, some-not handle.n.01 appendage.n.03: some-not object.n.01 appendage.n.03; all object.n.01 appendage.n.03
all painter.n.01 ore.n.01, some-not painter.n.01 artist.n.01: some-not ore.n.01 artist.n.01; all ore.n.01 artist.n.01
all radiography.n.02 mineral.n.01, some-not radiography.n.02 photography.n.01: some-not mineral.n.01 photography.n.01; all mineral.n.01 photography.n.01
all magnet.n.01 administrative_district.n.01, some-not magnet.n.01 device.n.01: some-not administrative_district.n.01 device.n.01; all administrative_district.n.01 device.n.01
all saint.n.01 act.v.01, some-not saint.n.01 deity.n.01: some-not act.v.01 deity.n.01; all act.v.01 deity.n.01
all saint.n.01 interact.v.01, some-not saint.n.01 deity.n.01: some-not interact.v.01 deity.n.01; all interact.v.01 deity.n.01
all nigerian.n.01 medicine.n.02, some-not nigerian.n.01 african.n.01: some-not medicine.n.02 african.n.01; all medicine.n.02 african.n.01
all architect.n.01 agent.n.03, some-not architect.n.01 creator.n.02: some-not agent.n.03 creator.n.02; all agent.n.03 creator.n.02
all officer.n.04 organism.n.01, some-not officer.n.04 mariner.n.01: some-not organism.n.01 mariner.n.01; all organism.n.01 mariner.n.01
all pigment.n.01 communicator.n.01, some-not pigment.n.01 coloring_material.n.01: some-not communicator.n.01 coloring_material.n.01; all communicator.n.01 coloring_material.n.01
all jazz.n.02 substance.n.01, some-not jazz.n.02 popular_music.n.01: some-not substance.n.01 popular_music.n.01; all substance.n.01 popular_music.n.01
all sing.v.02 entity.n.01, some-not sing.v.02 talk.v.02: some-not entity.n.01 talk.v.02; all entity.n.01 talk.v.02
all outbuilding.n.01 thing.n.12, some-not outbuilding.n.01 building.n.01: some-not thing.n.12 building.n.01; all thing.n.12 building.n.01
all commodity.n.01 professional.n.01, some-not commodity.n.01 artifact.n.01: some-not professional.n.01 artifact.n.01; all professional.n.01 artifact.n.01
all part.n.01 substance.n.01, some-not part.n.01 relation.n.01: some-not substance.n.01 relation.n.01; all substance.n.01 relation.n.01
all egyptian.n.01 entity.n.01, some-not egyptian.n.01 african.n.01: some-not entity.n.01 african.n.01; all entity.n.01 african.n.01
all gravitation.n.02 arrangement.n.02, some-not gravitation.n.02 change_of_location.n.01: some-not arrangement.n.02 change_of_location.n.01; all arrangement.n.02 change_of_location.n.01
all spy.n.01 criminal.n.01, some-not spy.n.01 secret_agent.n.01: some-not criminal.n.01 secret_agent.n.01; all criminal.n.01 secret_agent.n.01
all force.n.04 entity.n.01, some-not force.n.04 organization.n.01: some-not entity.n.01 organization.n.01; all entity.n.01 organization.n.01
all location.n.01 entity.n.01, some-not location.n.01 object.n.01: some-not entity.n.01 object.n.01; all entity.n.01 object.n.01
all enlargement.n.02 prince.n.01, some-not enlargement.n.02 attribute.n.02: some-not prince.n.01 attribute.n.02; all prince.n.01 attribute.n.02
all doctrine.n.01 entity.n.01, some-not doctrine.n.01 belief.n.01: some-not entity.n.01 belief.n.01; all entity.n.01 belief.n.01
all colony.n.01 entity.n.01, some-not colony.n.01 body.n.02: some-not entity.n.01 body.n.02; all entity.n.01 body.n.02
all cassette.n.01 operation.n.05, some-not cassette.n.01 container.n.01: some-not operation.n.05 container.n.01; all operation.n.05 container.n.01
all radiance.n.02 entity.n.01, some-not radiance.n.02 brightness.n.01: some-not entity.n.01 brightness.n.01; all entity.n.01 brightness.n.01
all text.n.01 unit_of_measurement.n.01, some-not text.n.01 matter.n.06: some-not unit_of_measurement.n.01 matter.n.06; all unit_of_measurement.n.01 matter.n.06
all theologian.n.01 physical_entity.n.01, some-not theologian.n.01 scholar.n.01: some-not physical_entity.n.01 scholar.n.01; all physical_entity.n.01 scholar.n.01
all commitment.n.04 physical_entity.n.01, some-not commitment.n.04 message.n.02: some-not physical_entity.n.01 message.n.02; all physical_entity.n.01 message.n.02
all spread.n.07 state.n.02, some-not spread.n.07 page.n.01: some-not state.n.02 page.n.01; all state.n.02 page.n.01
all adverb.n.02 cognition.n.01, some-not adverb.n.02 modifier.n.01: some-not cognition.n.01 modifier.n.01; all cognition.n.01 modifier.n.01
all dissenter.n.01 entity.n.01, some-not dissenter.n.01 physical_entity.n.01: some-not entity.n.01 physical_entity.n.01; all entity.n.01 physical_entity.n.01
all missionary.n.01 person.n.01, some-not missionary.n.01 teacher.n.01: some-not person.n.01 teacher.n.01; all person.n.01 teacher.n.01
all climber.n.01 physical_entity.n.01, some-not climber.n.01 vine.n.01: some-not physical_entity.n.01 vine.n.01; all physical_entity.n.01 vine.n.01
all vaporization.n.02 entity.n.01, some-not vaporization.n.02 phase_change.n.01: some-not entity.n.01 phase_change.n.01; all entity.n.01 phase_change.n.01
all doctrine.n.01 physical_entity.n.01, some-not doctrine.n.01 belief.n.01: some-not physical_entity.n.01 belief.n.01; all physical_entity.n.01 belief.n.01
all dancing.n.01 communication.n.02, some-not dancing.n.01 psychological_feature.n.01: some-not communication.n.02 psychological_feature.n.01; all communication.n.02 psychological_feature.n.01
all acknowledgment.n.03 substance.n.01, some-not acknowledgment.n.03 message.n.02: some-not substance.n.01 message.n.02; all substance.n.01 message.n.02
all digit.n.03 artifact.n.01, some-not digit.n.03 extremity.n.01: some-not artifact.n.01 extremity.n.01; all artifact.n.01 extremity.n.01
all stadium.n.01 blister.n.03, some-not stadium.n.01 structure.n.01: some-not blister.n.03 structure.n.01; all blister.n.03 structure.n.01
all officer.n.04 whole.n.02, some-not officer.n.04 mariner.n.01: some-not whole.n.02 mariner.n.01; all whole.n.02 mariner.n.01
all temperature.n.01 beverage.n.01, some-not temperature.n.01 abstraction.n.06: some-not beverage.n.01 abstraction.n.06; all beverage.n.01 abstraction.n.06
all prison.n.01 waste.n.01, some-not prison.n.01 correctional_institution.n.01: some-not waste.n.01 correctional_institution.n.01; all waste.n.01 correctional_institution.n.01
all establishment.n.04 entity.n.01, some-not establishment.n.04 structure.n.01: some-not entity.n.01 structure.n.01; all entity.n.01 structure.n.01
all play.n.17 entity.n.01, some-not play.n.17 action.n.01: some-not entity.n.01 action.n.01; all entity.n.01 action.n.01
all sharpener.n.01 entity.n.01, some-not sharpener.n.01 implement.n.01: some-not entity.n.01 implement.n.01; all entity.n.01 implement.n.01
all reverence.n.03 physical_entity.n.01, some-not reverence.n.03 action.n.01: some-not physical_entity.n.01 action.n.01; all physical_entity.n.01 action.n.01
all instrumentality.n.03 analgesic.n.01, some-not instrumentality.n.03 artifact.n.01: some-not analgesic.n.01 artifact.n.01; all analgesic.n.01 artifact.n.01
all process.n.04 equipment.n.01, some-not process.n.04 cognition.n.01: some-not equipment.n.01 cognition.n.01; all equipment.n.01 cognition.n.01
all process.n.05 performer.n.01, some-not process.n.05 body_part.n.01: some-not performer.n.01 body_part.n.01; all performer.n.01 body_part.n.01
all supporter.n.01 abstraction.n.06, some-not supporter.n.01 advocate.n.01: some-not abstraction.n.06 advocate.n.01; all abstraction.n.06 advocate.n.01
all writing_implement.n.01 compound.n.02, some-not writing_implement.n.01 implement.n.01: some-not compound.n.02 implement.n.01; all compound.n.02 implement.n.01
all lesbian.n.02 compound.n.02, some-not lesbian.n.02 greek.n.02: some-not compound.n.02 greek.n.02; all compound.n.02 greek.n.02
all economist.n.01 entity.n.01, some-not economist.n.01 social_scientist.n.01: some-not entity.n.01 social_scientist.n.01; all entity.n.01 social_scientist.n.01
all heading.n.01 person.n.01, some-not heading.n.01 line.n.05: some-not person.n.01 line.n.05; all person.n.01 line.n.05
all smoothness.n.01 location.n.01, some-not smoothness.n.01 texture.n.01: some-not location.n.01 texture.n.01; all location.n.01 texture.n.01
all string.n.05 entity.n.01, some-not string.n.05 sequence.n.01: some-not entity.n.01 sequence.n.01; all entity.n.01 sequence.n.01
all guard.n.06 entity.n.01, some-not guard.n.06 military_unit.n.01: some-not entity.n.01 military_unit.n.01; all entity.n.01 military_unit.n.01
all spy.n.02 musician.n.02, some-not spy.n.02 spectator.n.01: some-not musician.n.02 spectator.n.01; all musician.n.02 spectator.n.01
all viscountess.n.02 entity.n.01, some-not viscountess.n.02 peer.n.02: some-not entity.n.01 peer.n.02; all entity.n.01 peer.n.02
all polysaccharide.n.01 physical_entity.n.01, some-not polysaccharide.n.01 carbohydrate.n.01: some-not physical_entity.n.01 carbohydrate.n.01; all physical_entity.n.01 carbohydrate.n.01
all hearer.n.01 health_professional.n.01, some-not hearer.n.01 perceiver.n.01: some-not health_professional.n.01 perceiver.n.01; all health_professional.n.01 perceiver.n.01
all complete.v.01 physical_entity.n.01, some-not complete.v.01 end.v.02: some-not physical_entity.n.01 end.v.02; all physical_entity.n.01 end.v.02
all membrane.n.02 specialist.n.02, some-not membrane.n.02 animal_tissue.n.01: some-not specialist.n.02 animal_tissue.n.01; all specialist.n.02 animal_tissue.n.01
all solution.n.01 entity.n.01, some-not solution.n.01 mixture.n.01: some-not entity.n.01 mixture.n.01; all entity.n.01 mixture.n.01
all apache.n.01 worker.n.01, some-not apache.n.01 athapaskan.n.01: some-not worker.n.01 athapaskan.n.01; all worker.n.01 athapaskan.n.01
all industrialist.n.01 cleric.n.01, some-not industrialist.n.01 businessman.n.01: some-not cleric.n.01 businessman.n.01; all cleric.n.01 businessman.n.01
all mutilation.n.01 communicator.n.01, some-not mutilation.n.01 injury.n.02: some-not communicator.n.01 injury.n.02; all communicator.n.01 injury.n.02
all procedure.n.01 physical_entity.n.01, some-not procedure.n.01 activity.n.01: some-not physical_entity.n.01 activity.n.01; all physical_entity.n.01 activity.n.01
all headdress.n.01 physical_entity.n.01, some-not headdress.n.01 clothing.n.01: some-not physical_entity.n.01 clothing.n.01; all physical_entity.n.01 clothing.n.01
all customer.n.01 vector.n.03, some-not customer.n.01 consumer.n.01: some-not vector.n.03 consumer.n.01; all vector.n.03 consumer.n.01
all queen.n.03 entity.n.01, some-not queen.n.03 female_aristocrat.n.01: some-not entity.n.01 female_aristocrat.n.01; all entity.n.01 female_aristocrat.n.01
all shape.n.02 novelist.n.01, some-not shape.n.02 attribute.n.02: some-not novelist.n.01 attribute.n.02; all novelist.n.01 attribute.n.02
all structure.n.04 communist.n.02, some-not structure.n.04 body_part.n.01: some-not communist.n.02 body_part.n.01; all communist.n.02 body_part.n.01
all notch.n.03 artist.n.01, some-not notch.n.03 indentation.n.01: some-not artist.n.01 indentation.n.01; all artist.n.01 indentation.n.01
all group.n.01 physical_entity.n.01, some-not group.n.01 abstraction.n.06: some-not physical_entity.n.01 abstraction.n.06; all physical_entity.n.01 abstraction.n.06
all creator.n.02 physical_entity.n.01, some-not creator.n.02 person.n.01: some-not physical_entity.n.01 person.n.01; all physical_entity.n.01 person.n.01
all sensitivity.n.04 entity.n.01, some-not sensitivity.n.04 susceptibility.n.01: some-not entity.n.01 susceptibility.n.01; all entity.n.01 susceptibility.n.01
all gravitation.n.02 group.n.01, some-not gravitation.n.02 change_of_location.n.01: some-not group.n.01 change_of_location.n.01; all group.n.01 change_of_location.n.01
all writing.n.02 physical_entity.n.01, some-not writing.n.02 written_communication.n.01: some-not physical_entity.n.01 written_communication.n.01; all physical_entity.n.01 written_communication.n.01
all berry.n.01 communication.n.02, some-not berry.n.01 edible_fruit.n.01: some-not communication.n.02 edible_fruit.n.01; all communication.n.02 edible_fruit.n.01
all denunciation.n.01 communicator.n.01, some-not denunciation.n.01 speech_act.n.01: some-not communicator.n.01 speech_act.n.01; all communicator.n.01 speech_act.n.01
all eruption.n.02 instrumentality.n.03, some-not eruption.n.02 symptom.n.01: some-not instrumentality.n.03 symptom.n.01; all instrumentality.n.03 symptom.n.01
all martyr.n.02 priest.n.01, some-not martyr.n.02 victim.n.01: some-not priest.n.01 victim.n.01; all priest.n.01 victim.n.01
all nitrate.n.01 biologist.n.01, some-not nitrate.n.01 compound.n.02: some-not biologist.n.01 compound.n.02; all biologist.n.01 compound.n.02
all voodoo.n.03 dry.n.01, some-not voodoo.n.03 cult.n.05: some-not dry.n.01 cult.n.05; all dry.n.01 cult.n.05
all spear.n.01 relaxant.n.01, some-not spear.n.01 weapon.n.01: some-not relaxant.n.01 weapon.n.01; all relaxant.n.01 weapon.n.01
all saying.n.01 steroid_hormone.n.01, some-not saying.n.01 auditory_communication.n.01: some-not steroid_hormone.n.01 auditory_communication.n.01; all steroid_hormone.n.01 auditory_communication.n.01
all erythema.n.01 indian.n.02, some-not erythema.n.01 erythroderma.n.01: some-not indian.n.02 erythroderma.n.01; all indian.n.02 erythroderma.n.01
all schoolchild.n.01 subculture.n.01, some-not schoolchild.n.01 young_person.n.01: some-not subculture.n.01 young_person.n.01; all subculture.n.01 young_person.n.01
all respondent.n.02 entity.n.01, some-not respondent.n.02 communicator.n.01: some-not entity.n.01 communicator.n.01; all entity.n.01 communicator.n.01
all motto.n.01 hair.n.01, some-not motto.n.01 saying.n.01: some-not hair.n.01 saying.n.01; all hair.n.01 saying.n.01
all prison.n.01 material.n.01, some-not prison.n.01 correctional_institution.n.01: some-not material.n.01 correctional_institution.n.01; all material.n.01 correctional_institution.n.01
all eruption.n.02 physical_entity.n.01, some-not eruption.n.02 symptom.n.01: some-not physical_entity.n.01 symptom.n.01; all physical_entity.n.01 symptom.n.01
all young.n.01 physical_entity.n.01, some-not young.n.01 animal.n.01: some-not physical_entity.n.01 animal.n.01; all physical_entity.n.01 animal.n.01
all soil.n.02 drug.n.01, some-not soil.n.02 earth.n.02: some-not drug.n.01 earth.n.02; all drug.n.01 earth.n.02
all authority.n.02 entity.n.01, some-not authority.n.02 person.n.01: some-not entity.n.01 person.n.01; all entity.n.01 person.n.01
all string.n.05 object.n.01, some-not string.n.05 sequence.n.01: some-not object.n.01 sequence.n.01; all object.n.01 sequence.n.01
all structure.n.04 physical_entity.n.01, some-not structure.n.04 body_part.n.01: some-not physical_entity.n.01 body_part.n.01; all physical_entity.n.01 body_part.n.01
all area.n.01 entity.n.01, some-not area.n.01 region.n.03: some-not entity.n.01 region.n.03; all entity.n.01 region.n.03
all cooling.n.01 physical_entity.n.01, some-not cooling.n.01 temperature_change.n.01: some-not physical_entity.n.01 temperature_change.n.01; all physical_entity.n.01 temperature_change.n.01
all viscountess.n.02 genus.n.02, some-not viscountess.n.02 peer.n.02: some-not genus.n.02 peer.n.02; all genus.n.02 peer.n.02
all egyptologist.n.01 senator.n.01, some-not egyptologist.n.01 archeologist.n.01: some-not senator.n.01 archeologist.n.01; all senator.n.01 archeologist.n.01
all colony.n.01 artifact.n.01, some-not colony.n.01 body.n.02: some-not artifact.n.01 body.n.02; all artifact.n.01 body.n.02
all climber.n.01 sovereign.n.01, some-not climber.n.01 vine.n.01: some-not sovereign.n.01 vine.n.01; all sovereign.n.01 vine.n.01
all artifact.n.01 leader.n.01, some-not artifact.n.01 whole.n.02: some-not leader.n.01 whole.n.02; all leader.n.01 whole.n.02
all wanderer.n.01 entity.n.01, some-not wanderer.n.01 traveler.n.01: some-not entity.n.01 traveler.n.01; all entity.n.01 traveler.n.01
all copy.n.02 person.n.01, some-not copy.n.02 representation.n.02: some-not person.n.01 representation.n.02; all person.n.01 representation.n.02
all affix.n.01 sensitization.n.01, some-not affix.n.01 bound_morpheme.n.01: some-not sensitization.n.01 bound_morpheme.n.01; all sensitization.n.01 bound_morpheme.n.01
all commodity.n.01 medical_practitioner.n.01, some-not commodity.n.01 artifact.n.01: some-not medical_practitioner.n.01 artifact.n.01; all medical_practitioner.n.01 artifact.n.01
all relaxant.n.01 person.n.01, some-not relaxant.n.01 drug.n.01: some-not person.n.01 drug.n.01; all person.n.01 drug.n.01
all fiber.n.03 explorer.n.01, some-not fiber.n.03 cell.n.02: some-not explorer.n.01 cell.n.02; all explorer.n.01 cell.n.02
all collaborator.n.03 abnormality.n.01, some-not collaborator.n.03 associate.n.01: some-not abnormality.n.01 associate.n.01; all abnormality.n.01 associate.n.01
all explorer.n.01 leader.n.01, some-not explorer.n.01 person.n.01: some-not leader.n.01 person.n.01; all leader.n.01 person.n.01
all process.n.04 object.n.01, some-not process.n.04 cognition.n.01: some-not object.n.01 cognition.n.01; all object.n.01 cognition.n.01
all lesbian.n.02 organic_compound.n.01, some-not lesbian.n.02 greek.n.02: some-not organic_compound.n.01 greek.n.02; all organic_compound.n.01 greek.n.02
all support.n.10 chemical.n.01, some-not support.n.10 device.n.01: some-not chemical.n.01 device.n.01; all chemical.n.01 device.n.01
all sterility.n.02 solid.n.01, some-not sterility.n.02 physical_condition.n.01: some-not solid.n.01 physical_condition.n.01; all solid.n.01 physical_condition.n.01
all silversmith.n.01 entity.n.01, some-not silversmith.n.01 jewelry_maker.n.01: some-not entity.n.01 jewelry_maker.n.01; all entity.n.01 jewelry_maker.n.01
all dance.n.01 entity.n.01, some-not dance.n.01 art.n.01: some-not entity.n.01 art.n.01; all entity.n.01 art.n.01
all corrosion.n.02 physicist.n.01, some-not corrosion.n.02 chemical_process.n.01: some-not physicist.n.01 chemical_process.n.01; all physicist.n.01 chemical_process.n.01
all discharge.n.01 group.n.01, some-not discharge.n.01 happening.n.01: some-not group.n.01 happening.n.01; all group.n.01 happening.n.01
all tenant.n.01 physical_entity.n.01, some-not tenant.n.01 payer.n.01: some-not physical_entity.n.01 payer.n.01; all physical_entity.n.01 payer.n.01
all admiral.n.01 complete.v.01, some-not admiral.n.01 flag_officer.n.01: some-not complete.v.01 flag_officer.n.01; all complete.v.01 flag_officer.n.01
all discipline.n.01 adult.n.01, some-not discipline.n.01 knowledge_domain.n.01: some-not adult.n.01 knowledge_domain.n.01; all adult.n.01 knowledge_domain.n.01
all disrespect.n.01 musician.n.02, some-not disrespect.n.01 message.n.02: some-not musician.n.02 message.n.02; all musician.n.02 message.n.02
all tenant.n.01 medicine.n.02, some-not tenant.n.01 payer.n.01: some-not medicine.n.02 payer.n.01; all medicine.n.02 payer.n.01
all economist.n.01 entity.n.01, some-not economist.n.01 social_scientist.n.01: some-not entity.n.01 social_scientist.n.01; all entity.n.01 social_scientist.n.01
all monoamine.n.01 entity.n.01, some-not monoamine.n.01 amine.n.01: some-not entity.n.01 amine.n.01; all entity.n.01 amine.n.01
all revival.n.01 spiritual_leader.n.01, some-not revival.n.01 improvement.n.01: some-not spiritual_leader.n.01 improvement.n.01; all spiritual_leader.n.01 improvement.n.01
all fish.n.01 entity.n.01, some-not fish.n.01 aquatic_vertebrate.n.01: some-not entity.n.01 aquatic_vertebrate.n.01; all entity.n.01 aquatic_vertebrate.n.01
all spread.n.01 entity.n.01, some-not spread.n.01 change_of_location.n.01: some-not entity.n.01 change_of_location.n.01; all entity.n.01 change_of_location.n.01
all gas.n.02 gem.n.02, some-not gas.n.02 matter.n.03: some-not gem.n.02 matter.n.03; all gem.n.02 matter.n.03
all dance.n.01 entity.n.01, some-not dance.n.01 art.n.01: some-not entity.n.01 art.n.01; all entity.n.01 art.n.01
all chew.v.01 poison.n.01, some-not chew.v.01 break_up.v.16: some-not poison.n.01 break_up.v.16; all poison.n.01 break_up.v.16
all deceiver.n.01 entity.n.01, some-not deceiver.n.01 wrongdoer.n.01: some-not entity.n.01 wrongdoer.n.01; all entity.n.01 wrongdoer.n.01
all malignancy.n.01 content.n.05, some-not malignancy.n.01 disease.n.01: some-not content.n.05 disease.n.01; all content.n.05 disease.n.01
all pilgrimage.n.01 zoologist.n.01, some-not pilgrimage.n.01 journey.n.01: some-not zoologist.n.01 journey.n.01; all zoologist.n.01 journey.n.01
all handle.n.01 whole.n.02, some-not handle.n.01 appendage.n.03: some-not whole.n.02 appendage.n.03; all whole.n.02 appendage.n.03
all string.n.05 nut.n.01, some-not string.n.05 sequence.n.01: some-not nut.n.01 sequence.n.01; all nut.n.01 sequence.n.01
all customer.n.01 physical_entity.n.01, some-not customer.n.01 consumer.n.01: some-not physical_entity.n.01 consumer.n.01; all physical_entity.n.01 consumer.n.01
all confectioner.n.01 waste.n.01, some-not confectioner.n.01 maker.n.01: some-not waste.n.01 maker.n.01; all waste.n.01 maker.n.01
all abbess.n.01 entity.n.01, some-not abbess.n.01 superior.n.02: some-not entity.n.01 superior.n.02; all entity.n.01 superior.n.02
all medicine.n.02 person.n.01, some-not medicine.n.02 drug.n.01: some-not person.n.01 drug.n.01; all person.n.01 drug.n.01
all performance.n.02 instrumentality.n.03, some-not performance.n.02 presentation.n.02: some-not instrumentality.n.03 presentation.n.02; all instrumentality.n.03 presentation.n.02
all deceiver.n.01 communicator.n.01, some-not deceiver.n.01 wrongdoer.n.01: some-not communicator.n.01 wrongdoer.n.01; all communicator.n.01 wrongdoer.n.01
all martyr.n.02 entity.n.01, some-not martyr.n.02 victim.n.01: some-not entity.n.01 victim.n.01; all entity.n.01 victim.n.01
all blind.n.03 process.n.06, some-not blind.n.03 protective_covering.n.01: some-not process.n.06 protective_covering.n.01; all process.n.06 protective_covering.n.01
all matter.n.03 matter.n.03, some-not matter.n.03 physical_entity.n.01: some-not matter.n.03 physical_entity.n.01; all matter.n.03 physical_entity.n.01
all egyptian.n.01 location.n.01, some-not egyptian.n.01 african.n.01: some-not location.n.01 african.n.01; all location.n.01 african.n.01
all slave.n.01 performer.n.01, some-not slave.n.01 person.n.01: some-not performer.n.01 person.n.01; all performer.n.01 person.n.01
all food.n.01 artifact.n.01, some-not food.n.01 substance.n.07: some-not artifact.n.01 substance.n.07; all artifact.n.01 substance.n.07
all lesbian.n.02 neurochemical.n.01, some-not lesbian.n.02 greek.n.02: some-not neurochemical.n.01 greek.n.02; all neurochemical.n.01 greek.n.02
all toiletry.n.01 physical_entity.n.01, some-not toiletry.n.01 instrumentality.n.03: some-not physical_entity.n.01 instrumentality.n.03; all physical_entity.n.01 instrumentality.n.03
all commitment.n.04 vector.n.03, some-not commitment.n.04 message.n.02: some-not vector.n.03 message.n.02; all vector.n.03 message.n.02
all testimony.n.01 cognition.n.01, some-not testimony.n.01 evidence.n.03: some-not cognition.n.01 evidence.n.03; all cognition.n.01 evidence.n.03
all barrier.n.03 entertainer.n.01, some-not barrier.n.03 mechanism.n.03: some-not entertainer.n.01 mechanism.n.03; all entertainer.n.01 mechanism.n.03
all evidence.n.01 message.n.02, some-not evidence.n.01 information.n.02: some-not message.n.02 information.n.02; all message.n.02 information.n.02
all dry.n.01 physical_entity.n.01, some-not dry.n.01 reformer.n.01: some-not physical_entity.n.01 reformer.n.01; all physical_entity.n.01 reformer.n.01
all copy.n.02 biologist.n.01, some-not copy.n.02 representation.n.02: some-not biologist.n.01 representation.n.02; all biologist.n.01 representation.n.02
all structure.n.04 socialist.n.01, some-not structure.n.04 body_part.n.01: some-not socialist.n.01 body_part.n.01; all socialist.n.01 body_part.n.01
all descent.n.01 speech.n.02, some-not descent.n.01 change_of_location.n.01: some-not speech.n.02 change_of_location.n.01; all speech.n.02 change_of_location.n.01
all sterility.n.02 vegetable.n.01, some-not sterility.n.02 physical_condition.n.01: some-not vegetable.n.01 physical_condition.n.01; all vegetable.n.01 physical_condition.n.01
all person.n.01 glucocorticoid.n.01, some-not person.n.01 physical_entity.n.01: some-not glucocorticoid.n.01 physical_entity.n.01; all glucocorticoid.n.01 physical_entity.n.01
all apache.n.01 commissioned_officer.n.01, some-not apache.n.01 athapaskan.n.01: some-not commissioned_officer.n.01 athapaskan.n.01; all commissioned_officer.n.01 athapaskan.n.01
